EID,NAME,ADDR1,ADDR2,CITY,PHONE,EMAIL,DOB,DOJ
1032,ROSHANLAL TIWARI,1024,PALAM VIHAR 2,GURGAON,9999000099,RT31@YAHOO.CO.IN,05/10/89,10/04/18
1033,MONIKA KAPOOR,A401 PRAGYA APARTMENTS,DWARKA SEC 3,DELHI,9900000212,MK32@YAHOO.CO.IN,01/01/92,12/04/18
1034,ANJAN SINGH,A212/5 ,PALAM VIHAR 5,GURGAON,9912340090,AS32@YAHOO.COM,07/10/89,12/04/18
1035,MANOJ TIWARI,B-402,PALAM VIHAR -2,GURGAON,9999999087,MT34@YAHOO.CO.IN,05/10/90,12/12/18
1036,ROBERT,267,UDYOG VIHAR 2,PUNE,9999000011,RBT@YAHOO.CO.IN,15/10/89,12/12/18
1037,MIKE,C2-141,VASANT VIHAR,PUNE,8800000078,MIKE@YAHOO.COM,21/10/89,12/12/18
1038,RAJAT MAHAJAN,B321 POCKET 1,SECTOR 62,NOIDA,9899654540,RM@YAHOO.CO.IN,04/12/91,01/01/19
1039,ROHIT GUPTA,4219 POCKET 2,SECTOR 15,PUNE,9899600041,rg@YAHOO.CO.IN,05/12/91,01/01/19
1040,SAMEER SHARMA,B401 JYA MAA APT,SECTOR 5 DWARKA,DELHI,9899600099,SS@GMAIL.COM,01/01/90,02/01/19
1041,DEEPANKAR SHARMA,302/2 ,RAJPUR ROAD,DEHRADUN,9999008987,DS@GMAIL.COM,05/04/91,04/01/19
1042,AKHILESH MUNJAL,B101 ,PACHIM VIHAR,PUNE,9999008111,AM@GMAIL.COM,05/05/91,04/01/19
1043,GAGAN KAPOOR,C2/15,JANAK PURI,DELHI,9877687657,GK@GMAIL.COM,10/10/89,10/01/01
1044,GAGAN KAPOOR,C2/15,PALAM VIHAR,GURGAON,9877000657,GK01@GMAIL.COM,10/10/91,10/01/01
1045,RAJAT SHARMA,A101,RAJPUR ROAD,DEHRADUN,9888786540,RS@EMAIL.COM,10/05/91,02/02/19
1046,KOMAL KAPOOR,B2-101 ,SECTOR 62,NOIDA,9888221140,KK@GMAIL.COM,10/12/91,02/02/19
1047,MANIK NARULA,B301,SECTOR 2,PUNE,9888767567,MN@GMAIL.COM,15/01/92,02/02/19
1048,MOHIT SHARMA,A4/32,SECTOR 16,PUNE,9111000567,MS01@GMAIL.COM,12/05/92,02/05/19
1049,RAVINDER KAPOOR,B302 PRAGYA APT,SECTOR 2 DWARKA,DELHI,9111000111,RK01@GMAIL.COM,12/12/94,06/05/19
1050,ABHAS KUMAR SHARMA,A61,SECTOR 2,PUNE,7677567690,AS50@YAHOO.CO.IN,01/01/97,06/06/19
1051,RONITA,C4/104,JANAK PURI,DELHI,767756111,RONI@YAHOO.CO.IN,01/01/99,07/06/19
1052,MAHENDER SINGH,B62 ,SECTOR 2,PUNE,9899099098,MS52@OUTLOOK.COM,04/01/84,07/07/19
1053,Ainul,DLF PHASE 2,SECTOR 5,GURGAON,9818009010,AI53@OUTLOOK.COM,04/01/80,08/07/19
1054,RANJITA SHARMA,POCKET 2,SECTOR 13 DWARKA,DELHI,9999898870,RA54@OUTLOOK.COM,01/10/98,08/08/19
1055,ASHUTOSH KUMAR,B2/204,JANAK PURI WEST,DELHI,9991111170,AK55@OUTLOOK.COM,01/10/98,08/08/19
1056,RAJEEV SHARMA,B203 STREET NO 6,RAJEDER NAGAR ,PUNE,9787756760,RS56@OUTLOOK.COM,12/12/98,09/09/19
1057,ABHINAV GHOSH,HNO 305,SECTOR 15,PUNE,9787777700,AG57@OUTLOOK.COM,01/01/98,09/09/19
1058,PUMMY SINGH,TEACHERS COLONY,SECTOR 17,CHANDIGARH,9899675470,PUM58@OUTLOOK.COM,01/01/99,09/09/19
1059,AMAN MUDGAL,B502 - POLICE COLONY,PRETAMPURA,PUNE,9999787860,AM59@GMAIL.COM,10/10/89,12/12/19
1060,GAURAV GUPTA,HOUSE NO  305,RAJENDER PARK,DEHRADUN,9999008989,GG61@GMAIL.COM,01/01/87,12/12/19
1061,RAGHUVEER SINGH,B72/3 TEACHERS COLONY,SECTOR 25,CHANDIGARH,9899787870,RS61@OUTLOOK.COM,01/10/97,12/12/19
1062,ABHISHEK KUMAR,4231,DLF PHASE 3,GURGAON,9899781111,AK62@OUTLOOK.COM,03/12/99,15/12/19
1063,GAGAN KAPOOR,256 UDYOUG VIGAR,SECTOR 12,GURGAON,9999808070,GK63@OUTLOOK.COM,10/10/98,21/12/19
1064,RAJ KUMAR,HNO 120 LANE 6,SECTOR 12,GURGAON,9899898980,RK64@GMAIL.COM,12/12/89,20/12/19
1065,SANDEEP SHARMA,SECTOR 32,GEETA COLONY,CHANDIGARH,9899898970,SS065@GMAIL.COM,25/12/89,25/12/19
1066,ABHISHEK BHIST,"HNO 420, SIDDHARTH COLONY",GORE GAON,PUNE,9899898909,AB66@OUTLOOK.COM,01/01/98,26/12/19
1067,CHARAN PRASAD,256/1 TEACHERS COLONY,MINAR ROAD,CHANDIGARH,8686446163,hcprasad09@gmail.com,10/09/92,01/01/20
1068,SUNANDA SHARMA,HNO 120 LANE NO 6,RAJEBDER NAGAR,PUNE,8988989877,SUNANDA@GMAIL.COM,04/10/90,01/01/20
1069,GOPI CHARAN,HNO 1271/4,ANDHARI WEST,MUMBAI,8988900011,GC@GMAIL.COM,04/03/90,01/01/20
1070,ANJANI RAO,420/5 GEETA COLONY,ANDHARI WEST,MUMBAI,9999009090,ARA0@GMAIL.COM,10/10/99,01/01/20
1071,HARDIK SHARMA,4035 GOPALDAS BUILDING,ANDHARI EAST,MUMBAI,9999000056,HS071@OUTLOOK.COM,15/03/97,02/01/20
1072,SARVAN KUMAR,SECTOR 12,DWARKA,DELHI,8899880976,SK71@OUTLOOK.COM,10/10/91,02/02/20
1073,RAJAN SOOD,267 UDYOG VIHAR,PHASE 2,GURGAON,9876565643,RS073@OUTLOOK.COM,10/10/89,03/02/20
1074,AJAY SHRISTAVA,SURBHI APARTMENTS,DWARKA SEC 22,DELHI,9888989071,SHRIA74@OUTLOOK.COM,10/10/99,13/03/20
1075,AJAY MALIK,C2-151,GEETA COLONY,CHANDIGARH,9877876543,AJAY075@OUTLOOK.COM,10/11/99,04/01/20
1076,YAHOO SINGH,HNO120 LANE 13,ANDHARI EAST,MUMBAI,9099897654,YAHOO76GMAIL.COM,01/01/98,03/04/20
1077,AJAY MALIK,HNO50/4,RAJPUR ROAD,DEHRADUN,9899098765,AM77@GMAIL.COM,10/10/97,05/04/20
1078,ALBERT SON,HNO 120 LANE 4,H.K. VILLAGE,PUNE,9899090909,ALBERT@YAHOO.COM,10/01/97,13/04/20
1079,ROBERT BEN,B2/65 LANE 6,PARK STREET,PUNE,9999009987,RBEN@OUTLOOK.COM,01/10/98,15/04/20
1080,MUKESH BANSAL,HNO150 BLOCK 4,RADHIKA APARTMENTS,PUNE,9899990909,MB80@OUTLOOK.COM,10/10/95,17/05/20
1081,PRASHANT MISHRA,DLF PHASE 2,INDRAPURAM,GURGAON,9811235654,PM@GMAIL.COM,10/09/95,19/04/00
1082,AKBHAR AHMED,HNO 110 LANE 5,RAMA APARTMENTS,PUNE,9811343210,AA@GMAIL.COM,10/10/94,25/04/00
1083,RITIKA GUPTA,RAMA APARTMENTS,SECTOR 17,CHANDIGARH,9877878765,RITIKA@GMAIL.COM,01/10/90,26/04/20
1084,ARTI SONI,NAVYOG APARTMENTS, SECTOR 5 DWARKA,DELHI,9999876543,AS@GMAIL.COM,10/03/89,30/04/20
1085,AJAY MALIK,HNO125,RAJPUR ROAD,DEHRADUN,9811454531,AM85@GMAIL.COM,07/05/90,01/05/20
1086,ROHAN SAINI,H26-LANE 4,RAJOURI GARDEN,DELHI,9899765432,RS86@GMAIL.COM,10/01/91,02/05/20
1087,ROSHAN SOOD,B2/13,SECTOR 17,CHANDIGARH,98111465631,RSOOD@OUTLOOK.COM,13/05/90,06/05/21
1088,SANJAY GOYAL,B26/1,MODEL TOWN,PUNE,98000124310,SGOYAL@YAHOO.COM,12/01/89,07/05/20
1089,SANJEEV SINGH,"B301, NEAR GURUDWARA",SECTOR 3 DWARKA,DELHI,9899267890,SSINGH@GMAIL.COM,10/01/90,08/05/20
1090,RAVINDER SING,120/3,SECTOR 5,GURGAON,9811456542,RS90@GMAIL.COM,13/05/89,09/05/20
1091,GAGAN SHARMA,B502,ANDHARI WEST,MUMBAI,9811098760,GSHARMA@GMAIL.COM,10/05/98,09/05/20
1092,GAGANDEEP SINGH,HNO 150 LANE 1,SECTOR 5,GURGAON,98111099876,GS92@GMAIL.COM,01/10/89,10/05/20
1093,AJAY MALIK,"HNO NO 120, STREET 6",RAJENDER NAGAR,DEHRADUN,9800245670,AJAY@GMAIL.COM,06/05/85,11/05/20
1094,BALDEEP SINGH,SECTOR 3,GGR COLONY,PUNE,98111897610,BS93@GMAIL.COM,10/05/90,11/05/20
1095,RAMAN VERMA,HIG SOCIETY,SECTOR 17,CHANDIGARH,9811098765,RVERMA95@YAHOO.CO.IN,13/01/99,12/05/20
1096,AVINASH GUPTA,HNO. 256,RAJPUR ROAD,DEHRADUN,98111909890,AG96@GMAIL.COM,10/05/97,14/05/20
1097,MANDEEP SHARMA,STREET NO 6,RAJENDER NAGAR,DEHRADUN,9999880978,MS97@GMAIL.COM,18/05/98,14/05/21
1098,ROHAN SAHANI,HNO 120 ,SECTOR 5,GURGAON,9811897654,RS@OUTLOOK.COM,13/05/95,17/05/20
1099,ABHISHEK SINGH,HNO 110,LINK ROAD,PUNE,9999999989,ASINGH@OUTLOOK.COM,18/06/98,18/05/20
1100,PARMINDER SINGH,B32/8,RAJENDER PARK,DEHRADUN,9811898760,PARAM@GMAIL.COM,12/05/98,19/05/20
1101,RAVINDER SINGH,"HNO 10, BLOCK A",TEACHERS COLONY,CHANDIGARH,9899098123,RSINGH@GMAIL.COM,13/05/99,20/05/20
1102,AJAY MALIK,"HNO 120, STREET 6",RAJENDER NAGAR,DEHRADUN,9811111120,AJAYM@GMAIL.COM,15/05/97,21/05/20
1103,KULDEEP SINGH,145/7 LANE 6,RAJENDER NAGAR,DEHRADUN,9899090100,KS@GMAIL.COM,18/05/95,22/05/20
1104,ABHISHEK KUMAR,RAMA APARTMENTS,SECTOR 11 DWARKA,DELHI,9811111180,AK@GMAIL.COM,20/05/97,23/05/20
1105,ABHINAV KUMAR,BLOCK 5,DLF PHASE 2,GURGAON,9999998765,AK05@GMAIL.COM,13/06/97,24/05/20
1106,RAVINDER RAWAT,"HNO 120 , STREET 6",RAJENDER NAGER,DEHRADUN,9999009999,RRDDN@GMAIL.COM,10/10/94,26/05/20
1107,KAPIL GUPTA,245 UDYOG VIHAR,PHASE 5,GURGAON,9811765651,KG07@GMAIL.COM,13/10/98,30/05/20
1108,AVADH KUMAR,RAMA APARTMENTS,SECTOR 11,PUNE,9811455460,AK08@GMAIL.COM,10/05/90,01/06/20
1109,ANKIT SHARMA,HNO 120,SECTOR 68,PUNE,9099765432,AS09@GMAIL.COM,13/01/90,02/06/20
1110,RAJ KUMAR,OM SATYAM APARTMENTS,SECTOR 3 DWARKA,DELHI,9899765430,RK10@OUTLOOK.COM,13/01/93,03/06/20
1111,ARVIND KUMAR,HNO 360 LANE 5,PALAM COLONY,PUNE,9811987650,AK11@GMAIL.COM,12/01/97,04/06/20
1112,RANJEET SINGH,HNO 120,SECTOR 62,GURGAON,9899876890,RANJEET@GMAIL.COM,15/07/96,05/06/20
1113,PROMOD GUPTA,"HNO-5, STREET 6",RAJENDER NAGAR,DEHRADUN,9899090123,PG13@GMAIL.COM,13/07/94,06/06/20
1114,AMIT SOOD,HNO 510,SECTOR 17D,GURGAON,9811787761,ASOOD@GMAIL.COM,17/07/95,07/06/20
1115,VINAY SING,HNO 120 STREET NO 6,RAJENDER NAGER,DELHI,9811213240,VSINGH@GMAIL.COM,13/08/95,08/06/21
1116,AKILESH BIST,HNO341/3,SECTOR 78,NOIDA,98111765401,ABIST@GMAIL.COM,13/08/94,09/06/21
1117,SHASHI JUYAL,PLOT NO 95 SECTOR 4,RAJENDER NAGAR,DELHI,9999911087,SHASHI@GMAIL.COM,10/08/93,10/05/21
1118,GAURAV SHARMA,HNO.267,SECTOR 17,GURGAON,9811786510,GSHARMA02@GMAIL.COM,10/08/95,09/07/20
1119,PAVAN KUMAR,HNO 256,SECTOR 28,GURGAON,9811454314,PAVAN@GMAIL.COM,25/08/94,10/07/20
1120,NAVAL KISHOR,256 PREET VIHAR,EAST DELHI,DELHI,9811118010,NK20@GMAIL.COM,05/09/93,10/07/20
1121,JITENDRA KUMAR,SECTOR 78,MAHAGUN APARTMENTS,NOIDA,9800907650,JK21@GMAIL.COM,13/09/93,11/07/20
1122,NAVEEN KUMAR,4-CHANDER ROAD ,DALANWALA,DEHRADUN,9811234567,NK22@GMAIL.COM,28/09/95,12/07/20
1123,ABHINAV SINGH,459 UDYOG VIHAR,PHASE 2,GURGAON,98111767098,ABHINAVS@GMAIL.COM,01/10/97,13/07/20
1124,AMIT AGARWAL,HNO 120,PALAM COLONY,GURGAON,9876543432,AMIT@GMAIL.COM,10/10/92,14/07/20
1125,RAVINDER RANA,C2/10,DLF PHASE 2,GURGAON,9877654543,RRANA@GMAIL.COM,13/10/95,15/07/20
1126,DAINEL BOSE,SUSHANT LOK,PHASE 2,GURGAON,9811111190,DB26@OUTLOOK.COM,10/10/92,16/07/20
1127,NEHA RAWAT,5 CEMENT ROAD,KARANPUR,DEHRADUN,9811233210,NEHA@GMAIL.COM,10/10/95,16/07/20
1128,NIDHI KHURANA,DLF PASE 2,SECTOR 18,GURGAON,9899091111,NIDHIK@GMAIL.COM,10/06/91,17/07/20
1129,AMIT GUPTA,SECTOR 11,DWARKA,DELHI,9999990987,AG29@GMAIL.COM,13/03/95,20/07/00
1130,AKETA GUPTA,B32 JAY MAA APARTMENTS,"SECTOR 5, DWARKA",DELHI,9811123210,AKETAG30@GMAIL.COM,10/06/92,20/07/20
1131,ABHISHEK RAWAT,HNO 120 STREET 4,ARYA NAGAR,DEHRADUN,9811156434,AR@GMAIL.COM,13/01/95,21/07/20
1132,NAVEEN BHATT,25 RAJENDER NAGAR,STREET 6,DEHRADUN,98111432150,NBHATT@GMAIL.COM,01/01/90,22/07/20
1133,NAVAL KISHOR,FLAT NO 134,YAMUNA VIHAR,DELHI,9899234315,NK33@YAHOO.COM,05/01/91,23/07/20
1134,ROHAN MALHOTRA,SURYA APARTMENTS,ANDHARI,MUMBAI,9899245432,RM34@GMAIL.COM,14/03/93,24/07/20
1135,ABHISHEK RANA,"HNO NO35, STREET 6",ARYA NAGAR,DEHRADUN,9877676550,ARANA@GMAIL.COM,13/06/95,25/07/20
1136,RAJAT MATHUR,RAJENDER VIHAR,EAST DELHI,DELHI,9899633258,RAJATM@GMAIL.COM,17/01/89,30/07/20
1137,ABHISHEK KHURANA,46 /1 STREET 6,RAJENDER NAGAR,DEHRADUN,9888887690,AKHURANA@GMAIL.COM,08/01/95,01/08/20
1138,KARUNA SHARMA,SECTOR 56,GC ROAD,GURGAON,9811654321,KSHARMA38@GMAIL.COM,01/01/93,10/08/20
1139,HARVAINDER KUMAR,GEETA COLONY,SECTOR 17,CHANDIGARH,9811212190,HK39@GMAIL.COM,10/01/94,20/08/20
1140,HARPEET KAUR,B2 GEETA APARTMENTS,SECTOR 17,CHANDIGARH,9911229870,HARPREET@GMAIL.COM,03/03/96,20/08/20
1141,GEETA CHOPRA,BALCO APARTMENTS,SECTOR 62,GURGAON,9811132310,CHOPRAG@GMAIL.COM,10/03/95,21/08/20
1142,PRIYANKA SINGH,HNO 156,SECTOR 7,CHANDIGARH,9811111220,ABC@GMAIL.COM,26/01/98,24/08/20
1143,MADAN NAGAR,GAUR CITY 2,SECTOR 79,NOIDA,9788754650,MAN@GMAIL.COM,29/10/92,26/08/20
1144,PROMOD KUMAR,DREAMS APARTMENTS,DWARKA SEC 21,DELHI,9199187560,PKUMAR@GMAIL.COM,12/03/95,27/08/20
1145,AVAD KUMAR,GAUR CITY,SEC 78,NOIDA,9000876908,AK45@GMAIL.COM,12/10/97,29/08/20
1146,MANPREET KAUR,ARMY COLONY,SECTOR 17,CHANDIGARH,9999001100,MAN@YAHOO.COM,10/10/97,30/08/20
1147,RAMANDEEP SINGH,"HNO NO 35, LANE 5",SECTOR 15,CHANDIGARH,9899999910,RAMAN@GMAIL.COM,20/03/95,01/09/20
1148,PRIYANKA KAPOOR,SECTOR 90,VATIKA GREENS,GURGAON,9999000006,PK48@GMAIL.COM,14/02/99,05/09/20
1149,SHASHI BHATT,HNO 36 LANE NO 5,GMS ROAD,DEHRADUN,9811111102,SHASHI@YAHOO.COM,24/02/95,06/09/20
1150,GIRANDER RAWAT,"HNO 5, STREET NO 6",ARYA NAGAR,DEHRADUN,9999009789,RAWATG@GMAIL.COM,13/02/96,07/09/20
1151,KARAN THAKUR,GAUR CITY,SECTOR 62,NOIDA,9777474100,KARAN@YOHOO.COM,17/02/94,08/09/20
1152,RAJANI MEHTA,GAUR CITY2,SECTOR 78,NOIDA,9899696969,RM25@GMAIL.COM,26/02/98,09/09/20
1153,KAMAL GULATI,B32 BLOCK C,RAJOURI GARDEN,DELHI,9811111110,KAMAL@GMAIL.COM,28/02/95,10/09/20
1154,PAWAN SACHDEV,240/4 BLOCK D,VASANT KUNJ,DELHI,9811115520,PAWANSACH@GMAIL.COM,15/03/92,15/09/20
1155,PUMMY KAUR,RAJDHANI APARTMENTS,SECTOR 17 B,CHANDIGARH,9897488880,PUMMY@YAHOO.COM,13/10/99,16/09/20
1156,KAVITA GOYAL,5 CEMENT ROAD,KARAN PUR,DEHRADUN,9811789870,KGOYAL@GMAIL.COM,15/12/91,20/09/20
1157,RAVNEENA GUPTA,SECTOR 21,DWARKA,DELHI,9855146980,RGUPTA@YAHOO.COM,12/03/91,21/09/20
1158,RAJANI SINGH,DREAMS APARTMENTS,DWARKA SECTOR 22,DELHI,9888589960,RAJANISINGH@GMAIL.COM,27/03/95,30/09/20
1159,PARAMJEET SINGH,RAMA APARTMENTS,SECTOR 16B,CHANDIGARH,9899858580,PSINGH@YAHOO.COM,26/03/94,01/10/20
1160,SANJAY SHARMA,A1032 CROSSING REPUBLIC,SECTOR 78,NOIDA,98111458510,SSHARMA@GMAIL.COM,10/03/95,02/10/20
1161,ANKIT AGARWAL,B401 ECO VILLAGE 2,SECTOR 87,NOIDA,9811112203,AA61@GMAIL.COM,10/03/95,03/10/20
1162,INDERJEET SINGH,SUPER TECH ECO VILLAGE 2,SECTOR 68,NOIDA,9889807070,ISINGH@YAHOO.COM,12/04/95,04/10/20
1163,RONIKA SINGH,ECO VILLAGE 2,SECTOR 68,NOIDA,9811555590,RONISINGH@GMAIL.COM,01/04/96,05/10/20
1164,BALDEEP SINGH,DEV APARTMENTS,SECTOR 17 B,CHANDIGARH,9811000039,BSINGH@YAHOO.COM,26/05/95,06/10/20
1165,GOPI KUMAR,CROSSING REPUBLIC,SECTOR 78,NOIDA,98111676700,GOPI@GMAIL.COM,12/05/92,10/10/20
